datetime,headline,source,summary,url
2023-08-29 19:26:05,"Working from home ‘is probably not going to work out’, Amazon chief warns staff",Yahoo,The chief executive of Amazon has warned staff who work from home that “it’s probably not going to work out”.,https://finnhub.io/api/news?id=b12ef0556b896be8efda0d562362d21bf20047b2a359492f45d0c16290dfb8da
2023-08-29 18:47:04,Amazon CEO says 'it’s probably not going work out' for employees who defy return-to-office policy,Yahoo,"Amazon employees have been pushing back against the company’s return-to-office policy for months — and it seems CEO Andy Jassy has had enough.  During a pre-recorded internal Q&A session earlier this month, Jassy told employees it was “past the time to disagree and commit” with the policy, which requires corporate employees to be in the office three days a week.  The phrase “disagree and commit” is one of Amazon’s leadership principles, and was used often by the company’s founder and current executive chairman, Jeff Bezos.",https://finnhub.io/api/news?id=9afa41f8e5ec6ce9af99275626cf227af70f46dee22eb6d9059b0c310487fc0a
2023-08-29 17:04:22,Google stock rises as it says it will charge $30 for enterprise AI service,Yahoo,Google says it will charge $30 per month for its new enterprise AI platform.,https://finnhub.io/api/news?id=581d90fe2f24423606a613a7caa9ee172f6ec418546d70991eb90f1ccf7a3c18
2023-08-29 16:40:07,Hollywood strikes could have $5B+ impact on economy: Strategist,Yahoo,"Movies such as Dune: Part Two, Challengers, and White Bird are seeing their releases delayed due to the ongoing strikes in Hollywood. Milken Institute Chief Global Strategist Kevin Klowden estimates that the economy will take a $5 billion plus hit from the ongoing strikes. Klowden joins Yahoo Finance Live to discuss his findings. Klowden says, ""the main thing we’re really factoring into it, is the lost wages. But when we talk about lost wages, we’re really not just talking about the salaries and impacts that people are feeling in Hollywood itself, but were feeling anywhere that filming is talking place across the country and in all the industries and all the small business and all the little side elements that combine to actually make what we consider Hollywood possible."" Major companies like Disney (DIS), Warner Bros. Discovery (WBD), Netflix (NFLX), and Amazon (AMZN), are ""all getting affected, but we don’t see it as much on their bottom line as we do on the workers and we see it on the general expenditures,"" Klowden says. Klowden explains that these companies are able to ""put off costs right now, but ""the catch is"" with these delayed movie releases, ""their ability to get the revenue back to be able to get their expenditures back becomes harder and harder, and they forego revenues and they forego any ability to easily snap back out of this strike the longer it goes on.""",https://finnhub.io/api/news?id=86e5c718a7671d9865ed7fe44a96e78a9ac82fb90f7f717b740b28d46b4c97ae
2023-08-29 16:15:22,Some Amazon Customers Will Now Have to Spend $35 to Qualify for Free Shipping,Yahoo,It's possible to get free shipping on Amazon by meeting an order minimum. But read on to learn how that minimum may be going up.,https://finnhub.io/api/news?id=4153b48e4bd2575ae10a89dad8ccbe57e1f68cd059bcfab234eb8a00bcf6b153
2023-08-29 16:12:15,Gen Z is the fastest to embrace an AI economy,Yahoo,"Gen Z workers are predicted to be the largest user demographic of generative AI by 2025. TechCrunch+ Editor-in-Chief Alex Wilhelm joins Yahoo Finance Live to discuss how younger online users are influencing the direction of the internet alongside the growing impact of digitalization trends and artificial intelligence adoption. ""If this AI moment ends up being half as good as the hype currently says that it might become, I don't think we'll be able to get away from generative AI,"" Wilhelm says. ""So maybe the questions should be where will it not land versus where will it."" Wilhelm also comments on how Gen Z users will prioritize ethical consumption of data in the growing online economy, and how tech companies and chipmakers are leaning heavily into artificial intelligence to bolster their own engagement.",https://finnhub.io/api/news?id=914a0f2ecc16916af00df1994d313301aa45ef8019e6fec158b9274401671f96
2023-08-29 15:50:16,"Amazon com : Everything you need to know about Amazon Key In-Garage Delivery, an exclusive Prime member benefit",Finnhub,Amazon Key In-Garage Delivery lets you receive Amazon packages and groceries safely inside your garage. Learn more about this delivery option and find out how it works. ...,https://finnhub.io/api/news?id=a5533fcde37229c5c6b8ee14df22fabc79eba8f7b33788664629277955c94448
2023-08-29 15:44:00,Amazon (AMZN) Adds New Blink Camera to Its Devices Portfolio,Yahoo,Amazon (AMZN) expands its smart home devices portfolio with the launch of Blink Outdoor 4.,https://finnhub.io/api/news?id=7d48c28cd9115bc5f799b592a8e6e0071b640bcbe5dfe6607842c0c885f052a8
2023-08-29 14:48:04,Amazon CEO says 'it's probably not going work out' for employees who defy return-to-office policy,Finnhub,NEW YORK — Amazon employees have been pushing back against the company’s return-to-office policy for months — and it seems CEO Andy Jassy has had enough. During a pre-recorded internal...,https://finnhub.io/api/news?id=9a9311b25c22b0012ba8a8b3b74be803c0d268bfeb1057e66bb6e90ff6d0f3a0
2023-08-29 14:33:00,Williams-Sonoma's (WSM) West Elm Collaborates With Altuzarra,Yahoo,"West Elm, a portfolio brand of Williams-Sonoma (WSM), launches a 42-piece kids capsule collection in collaboration with Joseph Altuzarra.",https://finnhub.io/api/news?id=c5893df39094cadb6ae6a82ba12c958ab41a5acf3faec10f623e65f07af75243
