datetime,headline,source,summary,url
2023-08-29 14:24:23,"Stocks to Watch Tuesday: Hawaiian Electric, VinFast, Best Buy, NIO",Yahoo,↘️ [**Hawaiian Electric Industries (HE)**](https://www.wsj.com/market-data/quotes/HE): The utility company’s stock fell around 6% in early trading after a big jump in the previous session. A unit of Hawaiian Electric [denied Monday](https://www.,https://finnhub.io/api/news?id=a019db4550784613504120934b904aaa4bd1248eaa5bceebba87c34e8802c9af
2023-08-29 17:04:22,Google stock rises as it says it will charge $30 for enterprise AI service,Yahoo,Google says it will charge $30 per month for its new enterprise AI platform.,https://finnhub.io/api/news?id=581d90fe2f24423606a613a7caa9ee172f6ec418546d70991eb90f1ccf7a3c18
2023-08-29 17:02:11,"Google Announces Premium Duet AI Tools, Launches A3 Supercomputer",Yahoo,The tech giant announced a host of new products aiming to capitalize on artificial intelligence demand at its Cloud Next conference Tuesday.,https://finnhub.io/api/news?id=0d69bb9ffc9a7201a22e043e082aca5d77fc78602943f246a6bda3a5d62bda44
2023-08-29 16:40:00,"July Job Openings Were Soft, and We Have New AI Developments",Yahoo,"The July JOLTS Job Openings report showed the total number of job openings fell to 8.8 million, well below the expected figure of 9.46 million and down from 9.165 million exiting June.  US Senate Majority Leader Chuck Schumer will host tech leaders, including Tesla  CEO Elon Musk, Meta Platforms  CEO Mark Zuckerberg, and Alphabet CEO Sundar Pichai at an artificial intelligence forum on Sept. 13.",https://finnhub.io/api/news?id=8cd2d34703a5ede3379209721817986a962703849dde6850b626fe7cebda9a61
2023-08-29 16:33:34,Unveiling Alphabet (GOOG)'s Value: Is It Really Priced Right? A Comprehensive Guide,Yahoo,Understanding Alphabet's Financial Performance and Market Valuation,https://finnhub.io/api/news?id=34394678d0ce76e38443967cb4e72ce694d78ec9f97b7620c3c85a447a7ca5ff
2023-08-29 16:33:13,Unveiling Alphabet (GOOGL)'s Value: Is It Really Priced Right? A Comprehensive Guide,Yahoo,"An In-depth Analysis of Alphabet (GOOGL)'s Valuation, Financial Strength, Profitability, and Growth",https://finnhub.io/api/news?id=0e03cc1951d866a254942b33d328dc6c9c387e2b0f13e240d6046e466ab3b360
2023-08-29 16:19:24,Ampere says flagship chip to be offered by Google Cloud,Yahoo,"Ampere Computing, a semiconductor firm headed by ex-Intel executives that is planning to list its shares publicly, said on Tuesday its flagship chips will be offered by Alphabet's Google Cloud service.  The deal is significant because cloud computing firms such as Google are some of the biggest buyers of data center chips.  Jeff Wittich, Ampere's chief product officer, said more deals with other cloud providers will follow later this year, but he declined to name them.",https://finnhub.io/api/news?id=f43813896bd6405d596059a26275cfd99e2ce0fa27eeb1dc4d59ac01a0756cfe
2023-08-29 16:12:15,Gen Z is the fastest to embrace an AI economy,Yahoo,"Gen Z workers are predicted to be the largest user demographic of generative AI by 2025. TechCrunch+ Editor-in-Chief Alex Wilhelm joins Yahoo Finance Live to discuss how younger online users are influencing the direction of the internet alongside the growing impact of digitalization trends and artificial intelligence adoption. ""If this AI moment ends up being half as good as the hype currently says that it might become, I don't think we'll be able to get away from generative AI,"" Wilhelm says. ""So maybe the questions should be where will it not land versus where will it."" Wilhelm also comments on how Gen Z users will prioritize ethical consumption of data in the growing online economy, and how tech companies and chipmakers are leaning heavily into artificial intelligence to bolster their own engagement.",https://finnhub.io/api/news?id=914a0f2ecc16916af00df1994d313301aa45ef8019e6fec158b9274401671f96
2023-08-29 16:06:35,Alphabet Inc (GOOGL): A Deep Dive into Financial Metrics and Competitive Strengths,Yahoo,Unpacking the Growth and Competitive Edges of Alphabet Inc (GOOGL),https://finnhub.io/api/news?id=f38341de48e80d722be079d383a8489f837dc9f63009a8e8bc5310cc69803b1f
2023-08-29 16:06:02,"China's Response To Shield Economy From Real Estate Storm, Biden Targets Cancer, Diabetes Drugs In Controversial Medicare Price Battle, Google Collaborates With Nvidia In AI Expansion: Today's Top Stories",Yahoo,"Bloomberg China Takes Drastic Measures To Shield Economy From Real Estate Storm China is pulling out all the stops in response to the brewing storm within its real estate sector, aiming to prevent the cascading impact from reaching other sectors and economies. On a recent note, the world's second-largest economy has issued a directive to prominent state-owned banks, mandating substantial reductions in bank deposit and mortgage rates. The report highlights the insufficient domestic demand and cha",https://finnhub.io/api/news?id=4cc2dbcd60224b82a3424c89b43c8cdbcb34690723d285a0cb6f4c1a4ee9801f
2023-08-29 16:04:06,US STOCKS-Wall St gains as weak job openings data fuels hopes of rate-hike pause,Yahoo,"Wall Street's main indexes rose on Tuesday, lifted by growth stocks such as Tesla and Alphabet after a drop in monthly job openings cemented expectations of a pause in interest rate hikes by the U.S. Federal Reserve.  Investors also parsed another report from the Conference Board that showed consumer confidence in the United States fell to 106.1 in August, compared with expectations of 116.  ""In both the JOLTS and the consumer confidence number, you're seeing exactly what you'd want to see, a gradual decrease,"" said Art Hogan, chief market strategist at B Riley Wealth.",https://finnhub.io/api/news?id=140e0f16ef12bf5b81f58ad2bd3e09849ac0f1d6ea51705691f975d9275bc9a9
2023-08-29 15:19:42,UPDATE 1-Google unveils AI tools for enterprise customers at $30 a month,Yahoo,"Google on Tuesday made its artificial intelligence-powered tools available to enterprise customers at a monthly price of $30 per user, as the Alphabet-owned firm looks to cash in on the technology's surge in popularity this year.  Google has intensified investments in generative AI this year as it plays catch-up after Microsoft-backed OpenAI's launch of ChatGPT last year took the tech world by storm.  Its Tuesday announcement was made at the Google Next conference in San Francisco, where the company also unveiled a new version of its custom-built AI chips and a tool to watermark and identify images generated by AI.",https://finnhub.io/api/news?id=5575c3192f0e3426e6ee6fe08175ecd486520ef5c5394b737ed8cc89a0b39202
2023-08-29 15:15:11,Will AI stocks see a 'Minsky moment'?,Yahoo,"AI stocks such as Nvidia (NVDA), have skyrocketed this year, but could a Minsky moment be in store? A ""Minsky moment"" ""refers to the onset of a market collapse brought on by the reckless speculative activity that defines an unsustainable bullish period,"" according to Investopedia. Investopedia Editor-In-Chief Caleb Silver joins Yahoo Finance Live to discuss. “I don’t think we've seen” a Minksy moment in AI, Silver says, “we’ve seen a nice healthy pullback after a really strong rally.” Investors are “worried we might be at the brink of something. Well, there’s really nothing to suggest that we are, except that psychological scar tissue of the fact that we’ve had two bear markets in the past two and a half years,” Silver adds. Silver says, “when we think about AI, the big question is, is all the hype priced into these stocks?” Silver notes that Nvidia has “a pretty healthy price-to-sales ratio and healthy but I mean, very big. But Nvidia’s got a lot going for it, it doesn’t just surround itself in the AI ecosystem.” “We’ve seen a big selloff in AI-related stocks lately, absent Nvidia... so some of the air may have been let out of the AI bubble a little bit and we're going to see which companies remain that have the most strength in that area and can use it to enhance their businesses and their profitability,” Silver explains.",https://finnhub.io/api/news?id=c9dcf6542ef50614c1a5270c7b46677b532ae2fddd22d6dbafefdef5d3736b90
2023-08-29 15:08:00,Alphabet (GOOGL) Boosts Home App With Automation Features,Yahoo,Alphabet's (GOOGL) Google adds new automation capabilities to the Google Home application.,https://finnhub.io/api/news?id=757606da21ab85833213c8fae1257a29eda90ba31c02f2fc2e50202ecc7a92b3
2023-08-29 14:43:02,Trending : Google Cloud Enters Multiple AI Partnerships,Finnhub,"14:25 ET -- Google parent Alphabet is one of the most mentioned companies in the U.S. across all news items in the last 12 hours, according to Factiva data. Google is selling access to its...",https://finnhub.io/api/news?id=59b65ce82401a1aeb790f2be383bc79b7481c1d48689286a124f7080e77a8186
2023-08-29 13:20:00,"The Zacks Analyst Blog Highlights Alphabet, Roche Holding, Honeywell International, IBM and The Goldman Sachs",Yahoo,"Alphabet, Roche Holding, Honeywell International, IBM and The Goldman Sachs are part of the Zacks top Analyst Blog.",https://finnhub.io/api/news?id=3362041211e16616d8109a79692af797319756e97463a998bb056a4c9aec7b71
2023-08-29 12:53:37,Google: CIO Appointment And Cloud Profitability In The Limelight,SeekingAlpha,"Alphabet's current CFO will be assuming the new role of Chief Investment Officer on September 1, which I view as a significant development. Read more here.",https://finnhub.io/api/news?id=98c0c8dd78b9d958d62b3b7b16db9b0a58d9ebe94b5710ec03f2d9194efe67f6
2023-08-29 12:45:00,"Google 'AI counteroffensive taking shape,' says Baird",Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=df9d81fac27c900b558c66aba8c00c352a2bfcf0211114e3b7bb3ad3b4a220dc
2023-08-29 12:26:00,"Nvidia, Google broaden AI support with expanded partnership",MarketWatch,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,https://finnhub.io/api/news?id=ab2d7d08f56fa8ea1c9713dd3f3246a63f190dec2ea4d59bba2c1babe92f4096
