Date,Open,Close
2022-08-01,115.3,114.86
2022-08-02,114.0,115.13
2022-08-03,115.71,118.08
2022-08-04,117.48,118.19
2022-08-05,116.23,117.47
2022-08-08,118.39,117.3
2022-08-09,117.135,116.63
2022-08-10,118.78,119.7
2022-08-11,121.28,118.84
2022-08-12,120.26,121.68
2022-08-15,121.13,122.08
2022-08-16,121.52,121.7
2022-08-17,120.12,119.55
2022-08-18,119.43,120.17
2022-08-19,119.06,117.21
2022-08-22,115.2,114.24
2022-08-23,113.475,113.86
2022-08-24,113.5,113.69
2022-08-25,114.235,116.65
2022-08-26,114.72,110.34
2022-08-29,109.99,109.42
2022-08-30,110.17,108.94
2022-08-31,110.65,108.22
2022-09-01,108.28,109.74
2022-09-02,110.59,107.85
2022-09-06,107.3,106.81
2022-09-07,107.06,109.45
2022-09-08,108.04,108.38
2022-09-09,109.065,110.65
2022-09-12,110.99,110.86
2022-09-13,107.8,104.32
2022-09-14,104.57,105.0
2022-09-15,104.03,102.91
2022-09-16,102.07,102.8
2022-09-19,101.75,103.07
2022-09-20,102.08,101.14
2022-09-21,101.67,99.28
2022-09-22,98.82,100.14
2022-09-23,99.63,98.74
2022-09-26,98.1,98.17
2022-09-27,99.43,97.5
2022-09-28,97.65,100.05
2022-09-29,98.64,97.42
2022-09-30,97.05,95.65
2022-10-03,96.76,98.64
2022-10-04,100.44,101.64
2022-10-05,99.825,101.43
2022-10-06,100.68,101.42
2022-10-07,99.85,98.68
2022-10-10,99.0,97.86
2022-10-11,97.43,97.18
2022-10-12,97.3,97.56
2022-10-13,95.15,99.06
2022-10-14,99.99,96.56
2022-10-17,98.86,99.97
2022-10-18,103.13,100.77
2022-10-19,100.01,99.63
2022-10-20,100.0,99.97
2022-10-21,97.845,101.13
2022-10-24,101.8,102.52
2022-10-25,102.9,104.48
2022-10-26,96.43,94.93
2022-10-27,94.52,92.22
2022-10-28,92.27,96.29
2022-10-31,95.42,94.51
2022-11-01,95.45,90.47
2022-11-02,90.94,86.97
2022-11-03,86.32,83.43
2022-11-04,85.4,86.58
2022-11-07,87.28,88.49
2022-11-08,88.9,88.9
2022-11-09,88.45,87.32
2022-11-10,92.25,93.94
2022-11-11,94.69,96.41
2022-11-14,95.09,95.7
2022-11-15,98.26,98.44
2022-11-16,97.9,98.85
2022-11-17,96.97,98.36
2022-11-18,98.77,97.43
2022-11-21,97.29,95.6
2022-11-22,95.95,97.05
2022-11-23,97.09,98.46
2022-11-25,98.24,97.46
2022-11-28,97.0363,96.05
2022-11-29,95.73,95.19
2022-11-30,94.82,100.99
2022-12-01,101.02,100.99
2022-12-02,99.05,100.44
2022-12-05,99.4,99.48
2022-12-06,99.3,96.98
2022-12-07,96.41,94.94
2022-12-08,95.38,93.71
2022-12-09,93.77,92.83
2022-12-12,92.71,93.31
2022-12-13,97.76,95.63
2022-12-14,95.2,95.07
2022-12-15,93.13,90.86
2022-12-16,90.76,90.26
2022-12-19,90.255,88.44
2022-12-20,88.11,89.02
2022-12-21,89.08,89.58
2022-12-22,88.16,87.76
2022-12-23,87.11,89.23
2022-12-27,88.795,87.39
2022-12-28,86.98,86.02
2022-12-29,86.62,88.45
2022-12-30,86.98,88.23
2023-01-03,89.585,89.12
2023-01-04,90.35,88.08
